Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential
ABELI,,Abelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR4,,Abelia ×grandiflora,Shrub,,None,High,No,Rapid,6,6,Moderate,None,Yes,Yes,No,Medium,5.7,7,1700,28,60,12,Tolerant,-13,Routinely Available,No,No,Low,,Low
ABELM,,Abelmoschus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABES,,Abelmoschus esculentus,"Subshrub, Forb/herb",SWSS,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA9,,Abelmoschus manihot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO,,Abelmoschus moschatus,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIES,,Abies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL3,,Abies alba,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM,,Abies amabilis,Tree,,None,High,No,Slow,20,165,Long,None,Yes,Yes,Yes,Medium,3.3,6,700,38,260,36,Tolerant,-28,Routinely Available,Yes,No,Low,,
ABBA,,Abies balsamea,Tree,,None,High,No,Slow,18,60,Short,None,Yes,Yes,Yes,Medium,4,6,1200,13,60,20,Tolerant,-43,Routinely Available,Yes,No,Medium,,Low
ABBAB,,Abies balsamea var. balsamea,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBAP,,Abies balsamea var. phanerolepis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR,,Abies bracteata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCO,,Abies concolor,Tree,,None,High,No,Slow,20,120,Long,None,Yes,Yes,No,Medium,5.5,7.8,1200,18,80,40,Intermediate,-38,Routinely Available,Yes,No,Low,,Low
ABFI,,Abies firma,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR,,Abies fraseri,Tree,,None,High,No,Moderate,20,55,Moderate,None,Yes,Yes,No,Medium,3.5,5.5,1200,45,100,6,Tolerant,-23,Routinely Available,Yes,No,Low,,Low
ABGR,,Abies grandis,Tree,,None,High,No,Moderate,25,150,Long,None,Yes,Yes,No,Medium,4.5,7.5,1200,11,100,20,Tolerant,-33,Field Collections Only,Yes,No,Low,,Low
ABGU,,Abies guatemalensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHO,,Abies homolepis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA,,Abies lasiocarpa,Tree,,None,High,No,Slow,15,90,Long,None,Yes,Yes,No,Medium,4,6.5,1200,20,150,40,Tolerant,-51,Routinely Available,Yes,No,Low,,Low
ABLAA,,Abies lasiocarpa var. arizonica,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLAL,,Abies lasiocarpa var. lasiocarpa,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLO,,Abies lowiana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA,,Abies magnifica,Tree,,None,High,No,Slow,35,150,Long,None,Yes,Yes,No,Medium,5,6.1,1200,33,64,20,Tolerant,-23,Contracting Only,Yes,No,Low,Low,Low
ABMAM,,Abies magnifica var. magnifica,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMAS,,Abies magnifica var. shastensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR,,Abies procera,Tree,,None,High,No,Rapid,25,230,Long,None,Yes,Yes,No,Low,6,7.5,1200,64,120,20,Intermediate,-23,Contracting Only,Yes,No,Low,Low,Low
ABVE2,,Abies veitchii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIET,,Abietinella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB70,,Abietinella abietina,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILD,,Abildgaardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOV,,Abildgaardia ovata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRON,,Abronia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL,,Abronia alpina,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM2,,Abronia ameliae,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM3,,Abronia ammophila,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAN,,Abronia angustifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAR,,Abronia argillosa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBI,,Abronia bigelovii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBO,,Abronia bolackii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA,,Abronia carletonii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEL,,Abronia elliptica,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR2,,Abronia fragrans,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR2,,Abronia gracilis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN2,,Abronia insularis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA2,,Abronia latifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
